"Parasite.species","Parasite.genus","Parasite.group","Host.species","Host.common.name","Missing.info","Typical.host","Host.no","Def.int","Facultative","Stage","Asexual","Site","Host.habitat","Vert.group","Remark","Author","Year","Journal","Volume","Pages"
"Abbreviata antarctica","Abbreviata","nematode","Acheta domesticus","cricket",0,"atypical",1,"int","no","1larv","none","gut wall","terrestrial",NA,"only found in one of exposed hosts","King et al.","2013","J. Parasitol.","99","708-711"
"Abbreviata antarctica","Abbreviata","nematode","Teleogryllus oceanicus","cricket",0,"typical",1,"int","no","1larv","none","gut wall","terrestrial",NA,"also exposed two roach species and a termite","King et al.","2013","J. Parasitol.","99","708-711"
"Abbreviata antarctica","Abbreviata","nematode","Austrelaps superbus","snake",0,"atypical",2,"def","no","adult","none","gut","terrestrial","herp",NA,"Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Denisonia fasciata","snake",0,"atypical",2,"def","no","adult","none","gut","terrestrial","herp","less typical of snakes","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Drysdalia coronata","snake",0,"atypical",2,"def","no","adult","none","gut","terrestrial","herp",NA,"Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Echiopsis curta","snake",0,"atypical",2,"def","no","adult","none","gut","terrestrial","herp",NA,"Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Lissolepis luctuosus","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Notechis ater","snake",0,"atypical",2,"def","no","adult","none","gut","terrestrial","herp",NA,"Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Pogona microlepidota","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Pogona vitticeps","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Tiliqua multifasciata","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Tiliqua occipitalis","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Tiliqua rugosa","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","host length given","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata antarctica","Abbreviata","nematode","Varanus rosenbergi","lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","considered this the most important species, because the prevalence was very high in this species","Jones","2014","Aust. J. Zool.","62","180-194"
"Abbreviata caucasica","Abbreviata","nematode","Blatella germanica","cockroach",0,"typical",1,"int","no","1larv","none","gut wall","terrestrial",NA,NA,"Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Schistocerca gregaria","grasshopper",0,"typical",1,"int","no","1larv","none","gut wall","terrestrial",NA,NA,"Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Homo sapiens","man",0,"atypical",2,"def","no","adult","none","stomach","terrestrial","mammal","called P. mordens, but Ortlepp 1926 recognized that this was synonoymous with P.caucausica","Leiper","1908","Trans. R. Soc. Trop. Med. Hyg.","1","76-82"
"Abbreviata caucasica","Abbreviata","nematode","Lophocebus aterrimus","tufted mangabey",0,"typical",2,"def","no","adult","none","stomach","terrestrial","mammal",NA,"Poinar and Quentin","1972","J. Parasitol.","58","23-28"
"Abbreviata caucasica","Abbreviata","nematode","Papio anubis","olive baboon",0,"typical",2,"def","no","adult","none","stomach","terrestrial","mammal",NA,"Ryan et al.","2012","J. Parasitol.","98","885-888"
"Abbreviata caucasica","Abbreviata","nematode","Papio doguera","kenya baboon",0,"typical",2,"def","no","adult","none","stomach","terrestrial","mammal",NA,"Kuntz and Myers","1967","Primates","8","75-82"
"Abbreviata kazachstanica","Abbreviata","nematode","Adesmia panderi","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Aiolopus oxyanus","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Blaps fausti","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,"just CAB abstract","Gafurov","1970","Izv. Akad. Nauk Tadzh. SSR","2","56-63"
"Abbreviata kazachstanica","Abbreviata","nematode","Bryodema tuberculatum","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Calliptamus barbarus","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Calliptamus italicus","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Decticus verrucivorus","grasshopper",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode","Dila laevicollis","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Duroniella sp.","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Epacromius tergestinus","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Gryllus bimaculatus","cricket",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode","Hierodula kazachstanica","mantid",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Ocnera sp.","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Pachyscelis banghaasi","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,"just CAB abstract","Gafurov","1970","Izv. Akad. Nauk Tadzh. SSR","2","56-63"
"Abbreviata kazachstanica","Abbreviata","nematode","Pelorocnemis punctata","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Perotmites tartaris","grasshopper",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode","Pimelia verrucosa","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Platycleis intermedia","grasshopper",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode","Prosodes baeri","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Prosodes nitida","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Prosodes pygmaea","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Prosodes sp.","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Semenovia temerlana","grasshopper",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Stalagmoptera confusa","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Tentyria gigas","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Tettigonia viridissima","grasshopper",0,"typical",1,"int","no","1larv","none","muscles","terrestrial",NA,NA,"Kabilov and Siddikov","1987","Orthoptera as intermediate hosts of helminths, In: Helminths of Insects",NA,"88"
"Abbreviata kazachstanica","Abbreviata","nematode","Gymnodactylus russovi","gecko",0,"typical",2,"int","paratenic","2larv","none","body cavity","terrestrial","herp","experimental host","Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Pelophylax ridibundus","marsh frog",0,"typical",2,"int","paratenic","2larv","none","body cavity","terrestrial","herp","experimental host","Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata kazachstanica","Abbreviata","nematode","Ophisaurus apus","european glass lizard",0,"typical",3,"def","no","adult","none","gut","terrestrial","herp",NA,"Kabilov","1980","Parazitologiya","14","263-270"
"Abbreviata turkomanica","Abbreviata","nematode","Pisterotarsa gigantea","beetle",0,"typical",1,"int","no","1larv","none","body cavity","terrestrial",NA,"cites Annaev and Mushkambarova 1975","Anderson","2000","Nematode parasites of vertebrates: their development and transmission, CABI",NA,NA
"Abbreviata turkomanica","Abbreviata","nematode","Agama sanguinoienta","agama lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","just CAB abstract","Andrushko and Markov","1956","Vestn.  Leningradsk.  Univ.,  Ser.  Biol.",NA,"61-71"
"Abbreviata turkomanica","Abbreviata","nematode","Phrynocephalus mystaceus","agama lizard",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","just CAB abstract","Andrushko and Markov","1956","Vestn.  Leningradsk.  Univ.,  Ser.  Biol.",NA,"61-71"
"Abbreviata turkomanica","Abbreviata","nematode","Phrynocephalus reticulatus","reticulated toad-headed agama",0,"typical",2,"def","no","adult","none","gut","terrestrial","herp","just CAB abstract","Andrushko and Markov","1956","Vestn.  Leningradsk.  Univ.,  Ser.  Biol.",NA,"61-71"
"Acanthobothrium brevissime","Acanthobothrium","cestode","Branchiostoma floridae","amphioxus",0,"typical",1,"int","no","1larv","none","gut","marine",NA,NA,"Holland and Wilson","2009","J. Parasitol.","95","1215-1217"
"Acanthobothrium brevissime","Acanthobothrium","cestode","Ensis minor","clam",0,"typical",1,"int","no","1larv","none","gut","marine",NA,NA,"Holland and Wilson","2009","J. Parasitol.","95","1215-1217"
"Acanthobothrium brevissime","Acanthobothrium","cestode","Dasyatis say","bluntnose stingray",0,"typical",2,"def","no","adult","none","gut","marine","fish",NA,"Holland and Wilson","2009","J. Parasitol.","95","1215-1217"
"Acanthobothrium olseni","Acanthobothrium","cestode","Tigriopus californicus","copepod",0,"typical",1,"int","no","1larv","none","body cavity","marine",NA,NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode",NA,"fish and cephalopods",1,"typical",2,"int","no","2larv","none","body cavity","marine",NA,NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode","Rhinobatos productus","guitarfish",0,"typical",3,"def","no","adult","none","spiral valve","marine","fish",NA,"Mudry and Dailey,","1971","Can. J. Zool.","49","1249-1253"
"Acanthobothrium olseni","Acanthobothrium","cestode","Urobatis halleri","round stingray",0,"typical",3,"def","no","adult","none","spiral valve","marine","fish",NA,"Friggens and Brown","2005","Oikos","108","76-84"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Asellus aquaticus","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Abramis brama","bream",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Anguilla anguilla","eels",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Kennedy et al.","1989","J. Fish Biol.","34","607-619"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Aspius aspius","asp",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Leuciscus cephalus","chub",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Kennedy et al.","1989","J. Fish Biol.","34","607-619"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Leuciscus idus","ide",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Scardinius erythrophthalmus","rudd",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anguillae","Acanthocephalus","acanthocephalan","Tinca tinca","tench",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Proasellus coxalis","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Lissotriton vulgaris","smooth newt",0,"atypical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Avery","1971","Freshw. Biol.","1","113-119"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Rana ridibunda","frog",0,"atypical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Triturus cristatus","crested newt",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Triturus helveticus","newt",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus anthuris","Acanthocephalus","acanthocephalan","Triturus marmoratus","newt",0,"atypical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Batchvarov","1974","C. R. Acad. Sci. Paris D","278","3339-3341"
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Asellus meridianus","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Echinogammarus pungens","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Dezfuli et al.","1991","Parassitologia","33","121-126"
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Echinogammarus stammeri","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Dezfuli et al.","2000","Int. J. Parasitol.","30","1143-1146"
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Anguilla anguilla","eels",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Coregonus pennantii","gwyniad",0,"typical",2,"def","no","adult","none","gut","freshwater","fish","endemic whitefish sp","Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Cottus gobio","bullhead",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Rojanapaibul","1977","PhD thesis, University of Liverpool",NA,NA
"Acanthocephalus clavula","Acanthocephalus","acanthocephalan","Salmo trutta","brown trout",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Byrne et al.","2004","J. Helminthol.","78","201-206"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Asellus intermedius","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Caecidotea intermedius","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Sparkes et al.","2004","Parasitology","129","335-340"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Caecidotea militaris","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,"A.dirus was synonomized with A.parksidei and A.jacksoni by Amin 1984","Amin et al.","1980","Proc. Helminthol. Soc. Wash.","47","37-46"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Lirceus garmani","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Lirceus lineatus","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Oetinger and Nickol","1982","J. Parasitol.","68","463-469"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Carassius auratus","goldfish",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Muzzall and Rabalais","1975","Proc. Helminthol. Soc. Wash.","42","31-34"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Catostomus commersoni","suckers",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Amin","1975","J. Parasitol.","61","318-329"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Cyprinus carpio","carp",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Muzzall and Rabalais","1975","Proc. Helminthol. Soc. Wash.","42","31-34"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Lepomis cyanellus","green sunfish",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Muzzall and Rabalais","1975","Proc. Helminthol. Soc. Wash.","42","31-34"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Lepomis macrochirus","bluegill",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Muzzall and Rabalais","1975","Proc. Helminthol. Soc. Wash.","42","31-34"
"Acanthocephalus dirus","Acanthocephalus","acanthocephalan","Semotilus atromaculatus","creek chub",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Camp and Huizinga","1980","J. Parasitol.","66","299-304"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Paracalliope fluviatilis","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Aldrichetta forsteri","yellow-eye mullet",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lagrue et al.","2011","J. Fish Biol.","79","466-485"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Galaxias argenteus","giant kokopu",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Galaxias maculatus","common galaxias",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus galaxii","Acanthocephalus","acanthocephalan","Retropinna retropinna","nz smelt",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Hine","1977","J. Roy. Soc. N.Z.","7","51-57"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Asellus aquaticus","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Anguilla anguilla","eels",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Kennedy and Moriarty","1987","Parasitology","95","301-310"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Esox lucius","pike",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Mishra and Chubb","1969","J. Zool.","157","213-224"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Gasterosteus aculeatus","sticklebacks",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Gymnocephalus cernuus","ruffe",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Lota lota","burbot",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Perca fluviatilis","perch",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus lucii","Acanthocephalus","acanthocephalan","Siluris glanis","wels",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Asellus aquaticus","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Bombina bombina","fire-belly toad",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Bufo bufo","toad",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Bufo viridis","green toad",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Lissotriton vulgaris","smooth newt",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Rana arvalis","frog",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Cedhagen","1988","Acta Parasitol.","33","107-113"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Rana esculenta","frog",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Rana ridibunda","frog",0,"typical",2,"def","no","adult","none","gut","freshwater","herp","also reported from other host spp, but low sample sizes","Heckmann et al.","2011","Sci. Parasitol.","12","23-32"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Rana temporaria","frog",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Pilecka-Rapacz","1986","Acta Parasitol.","30","233-250"
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Salamandra atra","alpine salamander",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus ranae","Acanthocephalus","acanthocephalan","Triturus cristatus","crested newt",0,"typical",2,"def","no","adult","none","gut","freshwater","herp",NA,"Lühe","1911","Die Süsswasserfauna Deutschlands: Acanthocephalen",NA,NA
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Echinogammarus tibaldii","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Dezfuli et al.","2012","Parasitol. Res.","110","2137-2143"
"Acanthocephalus rhinensis","Acanthocephalus","acanthocephalan","Anguilla anguilla","eels",0,"typical",2,"def","no","adult","none","gut","freshwater","fish","a bit skeptical about this species","Amin et al.","2008","J. Parasitol.","94","1299-1304"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan","Asellus hilgendorfi","isopod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,"A.minor?","Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan","Gasterosteus aculeatus","sticklebacks",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan","Hucho perryi","huchen",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan","Hypomesus nipponensis","japanese pond smelt",0,"atypical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus sp.","Acanthocephalus","acanthocephalan","Oncorhynchus mykiss","rainbow trout",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Ohtaka et al.","2002","Limnology","3","143-150"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Hyalella patagonica","amphipod",0,"typical",1,"int","no","1larv","none","body cavity","freshwater",NA,NA,"Rauque and Semenas","2007","Parasitol. Res.","100","1271-1276"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Diplomystes viedmensis","sa catfish",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Rauque et al.","2003","Folia Parasitol.","50","72-78"
"Acanthocephalus tumescens","Acanthocephalus","acanthocephalan","Galaxias maculatus","common galaxias",0,"typical",2,"def","no","adult","none","gut","freshwater","fish",NA,"Semenas and Trejo","1997","Syst. Parasitol.","36","13-16"
